id;title;link;regular_price;promotional_price;brand
132207;Кофе Jacobs Barista Crema в зернах, 800г;https://online.metro-cc.ru/products/kofe-jacobs-barista-crema-zernovoy-800g;1419;1419;JACOBS
133789;Напиток кофейный Jacobs 3в1 Классический 50 пакетиков, 675г;https://online.metro-cc.ru/products/napitok-kofeynyy-jacobs-3v1-klassicheskiy-50x135g;699;589;JACOBS
76039;Кофе в капсулах Jacobs Espresso №7 Classico для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/jacobs-espresso-7-classico-10sht;329;279;JACOBS
559281;Кофе Jacobs Monarch классический растворимый сублимированный, 240г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-klassicheskij-240g;1069;1069;JACOBS
201559;Кофе Jacobs Barista Editions Italiano в зернах, 800г;https://online.metro-cc.ru/products/800g-kofe-jacobs-barista-editions-italiano-zernovoy;1419;1419;JACOBS
215059;Кофе Jacobs Monarch в зернах, 230г;https://online.metro-cc.ru/products/230g-kofe-jacobs-monarch-zerno;349;319;JACOBS
426452;Кофе Jacobs Monarch растворимый сублимированный, 75г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-75g;241;219;JACOBS
120797;Кофе Jacobs Monarch растворимый, 270г;https://online.metro-cc.ru/products/270g-jacobs-monarch;1119;749;JACOBS
226349;Кофе Jacobs Crema растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-jacobs-crema-rastvorimyy-stb;409;409;JACOBS
655858;Кофе Jacobs Espresso жареный в зернах, 1кг;https://online.metro-cc.ru/products/jacobs-espresso-zernovoj-1kg;1489;1249;JACOBS
133790;Напиток кофейный Jacobs 3в1 Крепкий 50 пакетиков, 675г;https://online.metro-cc.ru/products/napitok-kofeynyy-jacobs-3v1-krepkiy-50x135g;799;589;JACOBS
95644;Кофе Jacobs Monarch растворимый сублимированный, 190г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-190g;649;649;JACOBS
226336;Кофе в капсулах Jacobs Lungo 8 Intenso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/10shth52g-kofe-jacobs-lungo-8-intenso-v-kapsulah;329;329;JACOBS
413414;Кофе Jacobs Monarch растворимый, 95г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-95g;419;419;JACOBS
426458;Кофе Jacobs Monarch растворимый сублимированный, 150г;https://online.metro-cc.ru/products/jacobs-monarch-sublimirovannyj-150g;679;679;JACOBS
598758;Кофе Jacobs Gold растворимый сублимированный, 95г;https://online.metro-cc.ru/products/jacobs-sublimirovannyj-gold-95g;449;449;JACOBS
201564;Кофе Jacobs Barista Editions Crema молотый, 230г;https://online.metro-cc.ru/products/230g-kofe-jacobs-barista-editions-crema-molotyy;459;459;JACOBS
581769;Кофе Jacobs Monarch Классический в зернах, 800г;https://online.metro-cc.ru/products/jacobs-monarch-klassicheskij-v-zernah-800-g;1169;999;JACOBS
76036;Кофе в капсулах Jacobs Espresso №10 Intenso для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/jacobs-espresso-10-intenso-10sht;329;279;JACOBS
469363;Кофе Jardin Guatemala Atitlan натуральный растворимый, 95г;https://online.metro-cc.ru/products/jardin-guatemala-atitlan-naturalnyj-95-g;286;239;JARDIN
119136;Кофе в капсулах Jardin Vanillia Rich&Sweet для кофемашин Nespresso 10шт, 50г;https://online.metro-cc.ru/products/10h5g-jardin-vanillia;389;389;JARDIN
494570;Кофе Jardin Colombia Supremo натуральный жареный в зернах, 1кг;https://online.metro-cc.ru/products/jardin-v-zernah-naturalnyj-zharenyj-colombia-supremo-1kg;1799;1399;JARDIN
633254;Кофе Jardin Эспрессо ди Милано в зернах, 1кг;https://online.metro-cc.ru/products/jardin-v-zernah-naturalnyj-zharenyj-espresso-di-milano-1kg;1599;1099;JARDIN
119137;Кофе в капсулах Jardin Vivo Mild&Fruity для кофемашин Nespresso 10шт, 50г;https://online.metro-cc.ru/products/10h5g-jardin-vivo;389;389;JARDIN
635596;Кофе Jardin Bravo Бразилия в зернах, 1кг;https://online.metro-cc.ru/products/jardin-bravo-braziliya-1kg;2349;1399;JARDIN
469362;Кофе Jardin Colombia Medellin натуральный растворимый сублимированный, 95г;https://online.metro-cc.ru/products/jardin-naturalnyj-sublimirovannyj-colombia-medellin-95g;286;239;JARDIN
228236;Кофе Jardin Gold растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-jardin-gold-rastvorimyy-stb;389;239;JARDIN
459849;Кофе Jardin Colombia Medelin растворимый сублимированный, 150г;https://online.metro-cc.ru/products/jardin-sublimirovannyj-colombia-medelin-150g;529;529;JARDIN
215682;Кофе Jardin Oro в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-jardin-original-oro-zernovoy;1999;1399;JARDIN
469367;Кофе Jardin Kenya Kilimanjaro растворимый, 95г;https://online.metro-cc.ru/products/jardin-kenya-kilimanjaro-95-g;286;239;JARDIN
561302;Кофе Jardin Americano Crema в зернах, 1кг;https://online.metro-cc.ru/products/jardin-americano-crema-1000-g;1599;1099;JARDIN
119139;Кофе в капсулах Jardin Ristretto Intense&Full Bodied для кофемашин Nespresso 10шт, 50г;https://online.metro-cc.ru/products/10h5g-jardin-ristretto;389;389;JARDIN
119138;Кофе в капсулах Jardin Andante Strong&Velvet для кофемашин Nespresso 10шт, 50г;https://online.metro-cc.ru/products/10h5g-jardin-andante;389;389;JARDIN
533474;Кофе Jardin Espresso di Milano натуральный молотый жареный, 250г;https://online.metro-cc.ru/products/jardin-naturalnyj-zharenyj-espresso-di-milano-250g;449;449;JARDIN
101496;Кофе Jardin Dessert Capuccino в зернах, 1кг;https://online.metro-cc.ru/products/jardin-dessert-capuccino-1000g;1669;1289;JARDIN
101497;Кофе Jardin Eclair в зернах, 1кг;https://online.metro-cc.ru/products/jardin-eclair-1000g;1669;1289;JARDIN
459854;Кофе Jardin Guatemala Atitlan растворимый, 150г;https://online.metro-cc.ru/products/jardin-guatemala-atitlan-150g;529;529;JARDIN
119135;Кофе в капсулах Jardin Allonge Smooth&Silky для кофемашин Nespresso 10шт, 50г;https://online.metro-cc.ru/products/10h5g-jardin-allonge;389;389;JARDIN
228239;Кофе Jardin Колумбия Меделлин растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-jardin-kolumbiya-medellin-rastvorimyy;285;179;JARDIN
